session,date,window,car,seq,door_open_time
S1_0520_오후,2026-05-20,13:15~13:30,1호기,1,13:14:56
S1_0520_오후,2026-05-20,13:15~13:30,1호기,2,13:19:45
S1_0520_오후,2026-05-20,13:15~13:30,1호기,3,13:23:37
S1_0520_오후,2026-05-20,13:15~13:30,1호기,4,13:26:44
S1_0520_오후,2026-05-20,13:15~13:30,1호기,5,13:29:16
S1_0520_오후,2026-05-20,13:15~13:30,1호기,6,13:33:28
S1_0520_오후,2026-05-20,13:15~13:30,2호기,1,13:12:22
S1_0520_오후,2026-05-20,13:15~13:30,2호기,2,13:16:10
S1_0520_오후,2026-05-20,13:15~13:30,2호기,3,13:20:30
S1_0520_오후,2026-05-20,13:15~13:30,2호기,4,13:23:58
S1_0520_오후,2026-05-20,13:15~13:30,2호기,5,13:27:28
S1_0520_오후,2026-05-20,13:15~13:30,2호기,6,13:30:55
S1_0520_오후,2026-05-20,13:15~13:30,3호기,1,13:13:06
S1_0520_오후,2026-05-20,13:15~13:30,3호기,2,13:19:09
S1_0520_오후,2026-05-20,13:15~13:30,3호기,3,13:25:03
S1_0520_오후,2026-05-20,13:15~13:30,3호기,4,13:30:24
S2_0521_오전,2026-05-21,08:45~09:00,1호기,1,8:40:39
S2_0521_오전,2026-05-21,08:45~09:00,1호기,2,8:44:35
S2_0521_오전,2026-05-21,08:45~09:00,1호기,3,8:52:07
S2_0521_오전,2026-05-21,08:45~09:00,1호기,4,9:00:30
S2_0521_오전,2026-05-21,08:45~09:00,2호기,1,8:42:59
S2_0521_오전,2026-05-21,08:45~09:00,2호기,2,8:46:46
S2_0521_오전,2026-05-21,08:45~09:00,2호기,3,8:50:56
S2_0521_오전,2026-05-21,08:45~09:00,2호기,4,8:53:21
S2_0521_오전,2026-05-21,08:45~09:00,2호기,5,8:56:00
S2_0521_오전,2026-05-21,08:45~09:00,2호기,6,8:58:40
S2_0521_오전,2026-05-21,08:45~09:00,2호기,7,9:01:07
S2_0521_오전,2026-05-21,08:45~09:00,2호기,8,9:03:07
S2_0521_오전,2026-05-21,08:45~09:00,3호기,1,8:42:03
S2_0521_오전,2026-05-21,08:45~09:00,3호기,2,8:44:55
S2_0521_오전,2026-05-21,08:45~09:00,3호기,3,8:47:08
S2_0521_오전,2026-05-21,08:45~09:00,3호기,4,8:49:00
S2_0521_오전,2026-05-21,08:45~09:00,3호기,5,8:54:23
S2_0521_오전,2026-05-21,08:45~09:00,3호기,6,8:57:30
S2_0521_오전,2026-05-21,08:45~09:00,3호기,7,9:00:31
S2_0521_오전,2026-05-21,08:45~09:00,3호기,8,9:03:32
S3_0521_오후,2026-05-21,14:45~15:00,1호기,1,14:42:20
S3_0521_오후,2026-05-21,14:45~15:00,1호기,2,14:48:45
S3_0521_오후,2026-05-21,14:45~15:00,1호기,3,14:54:38
S3_0521_오후,2026-05-21,14:45~15:00,1호기,4,15:03:58
S3_0521_오후,2026-05-21,14:45~15:00,2호기,1,14:43:38
S3_0521_오후,2026-05-21,14:45~15:00,2호기,2,14:49:08
S3_0521_오후,2026-05-21,14:45~15:00,2호기,3,14:53:52
S3_0521_오후,2026-05-21,14:45~15:00,2호기,4,14:59:14
S3_0521_오후,2026-05-21,14:45~15:00,2호기,5,15:02:11
S3_0521_오후,2026-05-21,14:45~15:00,3호기,1,14:42:54
S3_0521_오후,2026-05-21,14:45~15:00,3호기,2,14:45:35
S3_0521_오후,2026-05-21,14:45~15:00,3호기,3,14:48:27
S3_0521_오후,2026-05-21,14:45~15:00,3호기,4,14:53:39
S3_0521_오후,2026-05-21,14:45~15:00,3호기,5,14:58:17
S3_0521_오후,2026-05-21,14:45~15:00,3호기,6,15:02:37
