Timestamp,"1. 미디어관 이용 시, 보통 몇 층으로 가시나요?  (해당되는 옵션 모두 선택 해 주세요)",2. 엘리베이터 대기 줄에 몇 명이 있으면 계단을 선택하시나요?,3. 수업에 늦지 않기 위해 (혹은 조금 늦더라도) 본인이 인내할 수 있는 엘리베이터 대기 시간의 마지노선은? ,4. 수업 시작 15분 전 (피크 타임) 에 엘리베이터 대기열을 마주했을 때 느끼는 시간적 압박감이나 당황스러움 (불만족도) 은 어느 정도인가요? ,5. 평소 엘리베이터 대신 계단을 이용한 경험이 있나요? (1층에서),"6. 위 질문에서 계단 이용 경험이 있다고 답해주셨다면, 그 이유는 무엇인가요?"
5/24/2026 11:15:34,7~10층,무조건 엘리베이터,3분 이상 ~ 5분 미만,3,네,한두층 정도는 계단을 이용하는 것이 더 빠르기 때문입니다
5/24/2026 11:17:00,7~10층,무조건 엘리베이터,3분 이상 ~ 5분 미만,5,네,사물함 이동
5/24/2026 11:17:23,"2~6층, 7~10층",무조건 엘리베이터,5분 이상 ~ 7분 미만,4,네,대기하는 사람이 너무 많아서..딱 한 번 이용해봤습니다
5/24/2026 11:17:52,7~10층,무조건 엘리베이터,10분 이상 (상관없음),4,아니오,
5/24/2026 11:18:48,7~10층,무조건 엘리베이터,3분 이상 ~ 5분 미만,4,네,출석하는 수업 지각하지않기위해
5/24/2026 11:20:08,7~10층,2번정도 사람이 꽉 차서 엘리베이터가 그냥 지나가면,5분 이상 ~ 7분 미만,3,네,수업까지 5분 미만으로 얼마 안남았는데 엘리베이터가 꽉 차서 1~2번 그냥 보내고 계단으로 갔습니다
5/24/2026 11:27:31,7~10층,11~15명,3분 이상 ~ 5분 미만,4,아니오,
5/24/2026 11:32:36,"7~10층, 11~12층",무조건 엘리베이터,7분 이상 ~ 10분 미만,5,네,"제 생각엔 근본적인 원인은 이 개인주의자들이 다른층으로 갈때 하나만 누르고 기다리면 되지, 엘레베이터3개를 무지성으로 다 쳐누르고 기다려서 그런것같아요"
5/24/2026 11:40:32,7~10층,무조건 엘리베이터,5분 이상 ~ 7분 미만,4,아니오,
5/24/2026 11:50:42,7~10층,무조건 엘리베이터,10분 이상 (상관없음),4,아니오,
5/24/2026 12:06:26,7~10층,무조건 엘리베이터,3분 미만,4,네,출석 시간이 임박하여 1층에서 10층까 계단을 타고 간 경험이 있어요. 하지만 다시는 시도하지 않을 것 같아요.
5/24/2026 12:09:52,7~10층,6~10명,3분 미만,5,네,꽉 찬 엘리베이터에 타는 게 부담스럽고 운동 겸
5/24/2026 12:17:08,7~10층,무조건 엘리베이터,7분 이상 ~ 10분 미만,4,아니오,
5/24/2026 13:24:19,7~10층,무조건 엘리베이터,3분 이상 ~ 5분 미만,5,아니오,
5/24/2026 13:27:34,7~10층,무조건 엘리베이터,5분 이상 ~ 7분 미만,4,아니오,
5/24/2026 13:35:39,7~10층,무조건 엘리베이터,7분 이상 ~ 10분 미만,5,아니오,"10층까지 계단을 이용할 수 없어서, 엘리베이터 기다리는 시간이 덜걸려서"
5/24/2026 13:45:36,"7~10층, 11~12층",무조건 엘리베이터,5분 이상 ~ 7분 미만,5,아니오,
5/24/2026 14:01:51,"2~6층, 7~10층",무조건 엘리베이터,3분 이상 ~ 5분 미만,4,아니오,
5/24/2026 14:05:54,"B1~B2층, 2~6층",11~15명,3분 미만,4,네,시간 압박 때문에
5/24/2026 14:31:44,"B1~B2층, 2~6층",무조건 엘리베이터,3분 이상 ~ 5분 미만,4,네,아래로 내려갈 때는 사람 많으며 가끔 이용함
5/24/2026 14:32:45,B1~B2층,6~10명,3분 미만,4,네,
5/24/2026 14:54:51,2~6층,6~10명,3분 미만,4,네,"엘리베이터 안의 분위기가 좀 어색해서, 각 층마다 멈추는 게 은근히 애를 태워서"
5/24/2026 15:38:38,7~10층,무조건 엘리베이터,7분 이상 ~ 10분 미만,5,네,지각 위기에 엘리베이터가 너무 많은 층에 멈춰서느라 1층에 도착하지 않음.
5/24/2026 15:58:20,2~6층,무조건 엘리베이터,10분 이상 (상관없음),5,아니오,
5/24/2026 16:01:39,"B1~B2층, 2~6층",11~15명,3분 미만,4,네,비로 타기도 힘들고 탄다 해도 사람 사이에 껴서 타야 하는 게 싫어서 그냥 건강하게 틈새 운동한다 치고 올라갈 때가 많았습니당
5/24/2026 17:14:57,7~10층,무조건 엘리베이터,5분 이상 ~ 7분 미만,4,네,
5/24/2026 17:54:25,7~10층,11~15명,5분 이상 ~ 7분 미만,4,네,
5/24/2026 18:05:38,"B1~B2층, 2~6층",11~15명,3분 미만,4,네,사람이 너무 많아서 계단 이용했다
5/24/2026 18:38:32,7~10층,무조건 엘리베이터,3분 미만,1,아니오,
5/24/2026 19:41:05,2~6층,5명 이하,3분 미만,4,네,건강
5/25/2026 13:47:38,2~6층,11~15명,5분 이상 ~ 7분 미만,3,네,수업 시간에 늦지 않기 위해서
5/25/2026 16:53:21,2~6층,11~15명,3분 미만,3,네,"계단을 올라가는 시간과 그 과정의 힘듦, 엘리베이터의 대기시간을 종합적으로 고려해 더 나은 쪽으로 갑니다."
5/25/2026 18:29:03,7~10층,무조건 엘리베이터,7분 이상 ~ 10분 미만,4,아니오,
5/26/2026 1:39:00,7~10층,무조건 엘리베이터,10분 이상 (상관없음),5,아니오,
